,DS,Data,601-T,602-T,603-T,604-T,701-T,702-T,703-T,704-T,801-M,802-T,803-T,804-T,901-M,902-M,903-M,904-T,905-T,1001-M,1002-M,1003-T,1004-T,1005-M,1006-T,2001-M,2002-M,2003-M,2004-M,2005-M,2006-T,3001-M,3002-M,3003-M,3004-M,3005-T,NEJA I-01,NEJA I-02,NEJA II-01,NEJA II-02,NEJA III-01,NEJA III-02,NEJA IV-01,NEJA IV-02
0,seg,2022-02-07,29.0,20.0,20.0,6.0,,,,,,,,,,,,,,,25.0,24.0,31.0,23.0,23.0,,,,33.0,23.0,,,,,,,,,,,,,,
1,ter,2022-02-08,28.0,,19.0,9.0,29.0,31.0,27.0,32.0,,,,,,,,,,40.0,19.0,20.0,28.0,16.0,23.0,15.0,22.0,25.0,33.0,23.0,26.0,,,,,,,,,,,,,
2,qua,2022-02-09,35.0,22.0,22.0,,31.0,27.0,,33.0,23.0,35.0,33.0,34.0,35.0,28.0,33.0,27.0,,37.0,28.0,35.0,31.0,23.0,26.0,23.0,24.0,29.0,33.0,21.0,,28.0,25.0,27.0,23.0,17.0,,,,,,,,
3,qui,2022-02-10,34.0,24.0,23.0,15.0,29.0,34.0,25.0,26.0,29.0,34.0,33.0,,31.0,,32.0,,,33.0,31.0,29.0,32.0,24.0,23.0,23.0,19.0,25.0,32.0,22.0,20.0,26.0,23.0,23.0,23.0,,,,,,,,,
4,sex,2022-02-11,25.0,26.0,,15.0,28.0,30.0,28.0,25.0,,32.0,32.0,32.0,36.0,17.0,32.0,,,,,,,,,17.0,11.0,18.0,16.0,15.0,18.0,18.0,19.0,18.0,20.0,,,,,,,,,
5,seg,2022-02-14,33.0,28.0,22.0,,27.0,33.0,31.0,30.0,25.0,36.0,33.0,33.0,26.0,31.0,30.0,24.0,27.0,36.0,,33.0,34.0,,30.0,24.0,15.0,25.0,21.0,20.0,19.0,15.0,26.0,30.0,24.0,14.0,,,,,,,,
6,ter,2022-02-15,31.0,31.0,22.0,17.0,30.0,37.0,31.0,32.0,30.0,32.0,36.0,36.0,34.0,31.0,32.0,25.0,38.0,36.0,32.0,37.0,32.0,25.0,21.0,20.0,24.0,31.0,32.0,21.0,24.0,29.0,28.0,27.0,21.0,17.0,,,,,,,,
7,qua,2022-02-16,33.0,30.0,23.0,12.0,23.0,37.0,,28.0,25.0,31.0,31.0,28.0,36.0,31.0,27.0,14.0,19.0,34.0,27.0,31.0,25.0,28.0,23.0,29.0,14.0,30.0,25.0,11.0,24.0,28.0,26.0,25.0,24.0,13.0,,,,,,,,
8,qui,2022-02-17,30.0,32.0,25.0,12.0,32.0,36.0,33.0,36.0,30.0,37.0,36.0,31.0,36.0,23.0,24.0,29.0,25.0,32.0,33.0,32.0,30.0,26.0,24.0,30.0,24.0,29.0,,11.0,16.0,27.0,26.0,25.0,28.0,11.0,,,,,,,,
9,sex,2022-02-18,23.0,26.0,19.0,14.0,23.0,37.0,27.0,29.0,,34.0,36.0,29.0,34.0,34.0,33.0,25.0,,,,,,,,22.0,9.0,13.0,26.0,8.0,8.0,20.0,,39.0,19.0,13.0,,,,,,,,
